# Constructed from biom file
#OTU ID	60861-1-MI-109-H	60861-10-MI-335-H	60861-100-MI-219-H	60861-101-MI-166-H	60861-102-MI-160-H	60861-103-MI-131-H	60861-106-MI-090-H	60861-107-MI-001-H	60861-108-MI-012-H	60861-109-MI-242-H	60861-11-MI-105-H	60861-110-MI-386-H	60861-111-MI-355-H	60861-112-MI-192-H	60861-114-MI-088-H	60861-115-MI-346-H	60861-116-MI-060-H	60861-117-MI-085-H	60861-118-MI-339-H	60861-119-MI-187-H	60861-12-MI-113-H	60861-16-MI-058-H	60861-17-MI-326-H	60861-18-MI-369-H	60861-19-MI-176-H	60861-2-MI-374-H	60861-20-MI-118-H	60861-21-MI-275-H	60861-22-MI-287-H	60861-25-MI-404-H	60861-26-MI-421-H	60861-27-MI-459-H	60861-29-MI-269-H	60861-3-MI-360-H	60861-33-MI-022-H	60861-34-MI-228-H	60861-35-MI-025-H	60861-36-MI-201-H	60861-37-MI-037-H	60861-4-MI-073-H	60861-40-MI-281-H	60861-42-MI-099-H	60861-43-MI-261-H	60861-44-MI-038-H	60861-46-MI-082-H	60861-48-MI-009-H	60861-50-MI-440-H	60861-51-MI-353-H	60861-52-MI-112-H	60861-57-MI-147-H	60861-59-MI-165-H	60861-6-MI-289-H	60861-60-MI-322-H	60861-62-MI-295-H	60861-63-MI-257-H	60861-65-MI-224-H	60861-66-MI-285-H	60861-69-MI-252-H	60861-7-MI-406-H	60861-71-MI-003-H	60861-72-MI-068-H	60861-73-MI-103-H	60861-74-MI-243-H	60861-75-MI-373-H	60861-76-MI-156-H	60861-78-MI-069-H	60861-79-MI-023-H	60861-8-MI-235-H	60861-80-MI-043-H	60861-81-MI-291-H	60861-84-MI-227-H	60861-85-MI-158-H	60861-86-MI-359-H	60861-9-MI-324-H	60861-90-MI-168-H	60861-91-MI-116-H	60861-92-MI-179-H	60861-93-MI-273-H	60861-94-MI-307-H	60861-95-Mix-bacteriano	60861-97-MI-384-H	60861-98-MI-178-H	60861-99-MI-086-H
51dbae06c592c4191a750741a35a2486	0.0	0.0	0.0	0.0	2397.0	0.0	0.0	0.0	0.0	0.0	258.0	259.0	117.0	0.0	0.0	0.0	0.0	1918.0	0.0	0.0	0.0	0.0	1894.0	0.0	0.0	0.0	98.0	0.0	1642.0	0.0	0.0	0.0	0.0	3072.0	0.0	839.0	0.0	0.0	0.0	0.0	0.0	574.0	0.0	1319.0	0.0	502.0	1422.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	1865.0	0.0	860.0	2894.0	3890.0	0.0	0.0	0.0	231.0	1355.0	385.0	0.0	0.0	472.0	110.0	179.0	369.0	0.0	0.0	0.0	3500.0	633.0	280.0	481.0	0.0	0.0	0.0	0.0	0.0
87fa0287555676e12b9965cfc4074cbe	558.0	0.0	0.0	0.0	0.0	2283.0	0.0	91.0	247.0	295.0	0.0	0.0	124.0	0.0	186.0	299.0	3379.0	0.0	0.0	0.0	0.0	0.0	1931.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	2114.0	0.0	0.0	0.0	1712.0	0.0	0.0	0.0	0.0	313.0	0.0	368.0	0.0	0.0	0.0	2557.0	0.0	1929.0	0.0	220.0	0.0	0.0	5290.0	0.0	164.0	1889.0	0.0	0.0	5112.0	0.0	0.0	0.0	0.0	331.0	0.0	0.0	0.0	0.0	0.0	0.0	169.0	92.0	70.0	0.0	1027.0	0.0	0.0	141.0	381.0
f84c1741dfe8fffab5970626c0d27bc0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	9.0	0.0	0.0	506.0	0.0	0.0	0.0	0.0	310.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	553.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	346.0	0.0	0.0	0.0	0.0	0.0	5973.0	6272.0	0.0	0.0	634.0	2118.0	0.0	0.0	0.0	0.0	695.0	315.0	5331.0	0.0	0.0	0.0	127.0	0.0	0.0	0.0	142.0	5403.0	0.0	0.0	35.0	0.0	102.0	0.0	1867.0	0.0	0.0	0.0	0.0	0.0	24.0	1631.0	341.0	127.0	36.0	39.0	0.0	0.0	0.0
efa478044580aa61c4ddb3a701fd95da	2516.0	0.0	0.0	0.0	0.0	0.0	0.0	7341.0	0.0	0.0	343.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1115.0	0.0	0.0	0.0	0.0	0.0	6320.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10872.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3121.0	473.0	0.0	0.0	0.0	0.0	0.0
4fee407a6effafbae3f728c6c7625537	0.0	0.0	0.0	0.0	625.0	0.0	0.0	0.0	0.0	3922.0	112.0	0.0	2296.0	0.0	146.0	0.0	0.0	0.0	36.0	100.0	0.0	1189.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7044.0	3197.0	4753.0	0.0	0.0	0.0	43.0	0.0	1153.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	1191.0	0.0	0.0	531.0	0.0	0.0	0.0	126.0	72.0	31.0	463.0	0.0	0.0	1460.0	1096.0
09a264e495e3e1a05a51ef81f43425bd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0	0.0	0.0	0.0	0.0	1642.0	0.0	0.0	0.0	0.0	0.0	0.0	3115.0	0.0	0.0	0.0	0.0	0.0	0.0	527.0	2398.0	0.0	0.0	0.0	0.0	7.0	198.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	153.0	0.0	427.0	0.0	0.0	74.0	264.0	0.0	0.0	393.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.0	0.0	12535.0	0.0	0.0	0.0	6337.0	1143.0	0.0	0.0	0.0	0.0	0.0
15bf5d048f5c60c6c85554b6076a1f4f	456.0	0.0	0.0	2524.0	1609.0	2762.0	66.0	0.0	518.0	1068.0	201.0	323.0	0.0	0.0	0.0	0.0	4079.0	2122.0	0.0	57.0	0.0	149.0	0.0	0.0	0.0	997.0	1022.0	568.0	315.0	561.0	0.0	0.0	158.0	0.0	195.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	3415.0	0.0	673.0	0.0	0.0	1186.0	1234.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	0.0	195.0	627.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	311.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0
dc9fbc7d68222d1ba9fcca0fb80ee41e	997.0	0.0	0.0	0.0	624.0	0.0	0.0	2001.0	0.0	0.0	115.0	0.0	0.0	2724.0	300.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	3263.0	0.0	0.0	1987.0	0.0	2327.0	652.0	366.0	0.0	37.0	48.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	1301.0	147.0	0.0	0.0	874.0	7.0	2385.0	2275.0	0.0	140.0	0.0	0.0	0.0	1066.0	0.0	48.0	249.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1475.0	0.0	0.0	126.0	0.0	0.0	0.0	331.0	130.0	35.0	0.0	0.0	0.0	298.0	0.0
234ca668c5fac93aebc4d2bb4c972966	181.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1987.0	0.0	0.0	0.0	1519.0	0.0	0.0	317.0	0.0	0.0	0.0	0.0	0.0	458.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2911.0	0.0	3277.0	0.0	67.0	0.0	2378.0	0.0	4482.0	0.0	1598.0	0.0	0.0	2097.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2564.0	114.0	0.0	0.0	117.0	0.0	0.0	0.0	0.0	205.0	0.0	0.0	0.0	855.0	0.0	0.0	0.0
84aaa8b026f59b7b83ca0c6d7c3524cc	173.0	0.0	32.0	0.0	131.0	118.0	66.0	119.0	921.0	0.0	0.0	104.0	654.0	361.0	330.0	0.0	181.0	246.0	18.0	85.0	76.0	28.0	3424.0	0.0	1009.0	0.0	266.0	0.0	0.0	104.0	0.0	0.0	0.0	7.0	89.0	0.0	13.0	1573.0	0.0	5.0	0.0	274.0	0.0	180.0	1381.0	14.0	0.0	1386.0	379.0	170.0	377.0	214.0	125.0	201.0	0.0	0.0	1596.0	0.0	216.0	112.0	51.0	898.0	78.0	0.0	48.0	72.0	2241.0	95.0	120.0	0.0	239.0	715.0	1116.0	0.0	891.0	311.0	256.0	113.0	36.0	670.0	0.0	27.0	0.0
3ab1fe3da1f9ad972ba9e0de1f166c91	0.0	3726.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1630.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.0	6630.0	0.0	0.0	1298.0	0.0	0.0	0.0	0.0	0.0	1654.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3899.0	0.0	0.0	0.0	0.0	0.0	0.0	4081.0	0.0	0.0	0.0	0.0	0.0	1335.0	0.0	0.0	0.0
