# Constructed from biom file
#OTU ID	MI-001-H	MI-003-H	MI-009-H	MI-012-H	MI-022-H	MI-023-H	MI-025-H	MI-037-H	MI-038-H	MI-043-H	MI-058-H	MI-060-H	MI-068-H	MI-069-H	MI-073-H	MI-082-H	MI-085-H	MI-086-H	MI-088-H	MI-090-H	MI-099-H	MI-103-H	MI-105-H	MI-109-H	MI-112-H	MI-113-H	MI-116-H	MI-118-H	MI-131-H	MI-147-H	MI-156-H	MI-158-H	MI-160-H	MI-165-H	MI-166-H	MI-168-H	MI-176-H	MI-178-H	MI-179-H	MI-187-H	MI-192-H	MI-201-H	MI-219-H	MI-222-H	MI-224-H	MI-227-H	MI-228-H	MI-229-H	MI-234-H	MI-235-H	MI-239-H	MI-242-H	MI-243-H	MI-244-H	MI-250-H	MI-252-H	MI-257-H	MI-261-H	MI-269-H	MI-273-H	MI-274-H	MI-275-H	MI-281-H	MI-285-H	MI-287-H	MI-289-H	MI-291-H	MI-295-H	MI-297-H	MI-307-H	MI-322-H	MI-324-H	MI-326-H	MI-327-H	MI-335-H	MI-339-H	MI-344-H	MI-346-H	MI-351-H	MI-353-H	MI-354-H	MI-355-H	MI-359-H	MI-360-H	MI-366-H	MI-369-H	MI-373-H	MI-374-H	MI-381-H	MI-384-H	MI-386-H	MI-388-H	MI-389-H	MI-392-H	MI-394-H	MI-395-H	MI-396-H	MI-397-H	MI-400-H	MI-404-H	MI-405-H	MI-406-H	MI-410-H	MI-414-H	MI-417-H	MI-421-H	MI-426-H	MI-436-H	MI-438-H	MI-440-H	MI-447-H	MI-450-H	MI-455-H	MI-459-H
351c1c41eb96b3ed2975bfe7f01eb9d7	0.0	35.0	17.0	0.0	0.0	0.0	0.0	0.0	178.0	646.0	141.0	48.0	135.0	333.0	0.0	0.0	0.0	661.0	43.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	2038.0	0.0	0.0	0.0	126.0	21282.0	14.0	32.0	211.0	0.0	1567.0	293.0	158.0	196.0	808.0	16.0	0.0	0.0	0.0	0.0	266.0	0.0	63.0	35.0	42.0	0.0	3497.0	248.0	0.0	17.0	188.0	0.0	377.0	313.0	0.0	390.0	0.0	1281.0	43.0	1463.0	167.0	0.0	90.0	0.0	0.0	2.0	65.0	0.0	246.0	0.0	0.0	33.0	0.0	0.0	21.0	5345.0	0.0	582.0	0.0	84.0	0.0	23.0	0.0	0.0	0.0	99.0	40.0	275.0	0.0	0.0	1046.0	0.0	408.0	0.0	577.0	264.0
a070c2e394db428a514dfa385c502b8e	0.0	0.0	3.0	0.0	0.0	4.0	0.0	4601.0	3873.0	242.0	2974.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	425.0	1811.0	43.0	1858.0	0.0	0.0	0.0	1047.0	4438.0	0.0	1217.0	0.0	4.0	446.0	0.0	0.0	0.0	2795.0	7878.0	0.0	683.0	0.0	512.0	0.0	157.0	0.0	43.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	59.0	0.0	15.0	0.0	0.0	317.0	0.0	0.0	6.0	8.0	1399.0	819.0	210.0	0.0	5.0	3821.0	0.0	0.0	0.0	0.0	0.0	480.0	0.0	105.0	11.0	0.0	140.0	0.0	180.0	0.0	0.0	11.0	11.0	1104.0	139.0	0.0	64.0	0.0	13.0	70.0	0.0	14.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	139.0	52.0	25.0	37.0	0.0	81.0	73.0	171.0	13.0	0.0	0.0
aed3f59201e3b9d21858f36557f42a80	24.0	3863.0	225.0	891.0	25.0	342.0	0.0	508.0	1149.0	114.0	210.0	3616.0	118.0	296.0	0.0	6002.0	44.0	1046.0	130.0	376.0	1836.0	0.0	760.0	1461.0	1355.0	0.0	305.0	123.0	312.0	93.0	0.0	107.0	96.0	114.0	2356.0	772.0	24.0	1561.0	1566.0	127.0	1614.0	38.0	97.0	70.0	107.0	64.0	110.0	91.0	208.0	556.0	87.0	164.0	11.0	95.0	84.0	238.0	115.0	0.0	378.0	18.0	525.0	0.0	181.0	90.0	68.0	769.0	759.0	432.0	18.0	33.0	637.0	10.0	0.0	24.0	78.0	321.0	195.0	134.0	22.0	0.0	28.0	0.0	318.0	1210.0	39.0	44.0	176.0	170.0	155.0	117.0	82.0	106.0	66.0	28.0	14.0	18.0	96.0	57.0	0.0	37.0	0.0	287.0	266.0	182.0	26.0	31.0	0.0	214.0	119.0	20.0	24.0	146.0	0.0	235.0
90a05d597112b554e4480a8eaae4e0aa	595.0	89.0	247.0	40.0	0.0	92.0	20.0	59.0	586.0	42.0	126.0	189.0	108.0	102.0	391.0	0.0	113.0	1093.0	57.0	8.0	27.0	41.0	50.0	310.0	133.0	0.0	7.0	17.0	1042.0	255.0	53.0	26.0	41.0	213.0	508.0	1005.0	137.0	387.0	658.0	63.0	95.0	1310.0	35.0	120.0	4.0	43.0	115.0	4.0	27.0	5820.0	397.0	839.0	154.0	77.0	200.0	214.0	257.0	1403.0	541.0	37.0	53.0	0.0	0.0	70.0	661.0	1100.0	112.0	6400.0	0.0	920.0	632.0	108.0	46.0	18.0	106.0	391.0	38.0	39.0	53.0	0.0	48.0	35.0	314.0	1951.0	7.0	143.0	146.0	380.0	9.0	7.0	15.0	0.0	21.0	22.0	26.0	4.0	6.0	21.0	38.0	52.0	21.0	173.0	60.0	47.0	61.0	67.0	19.0	89.0	10.0	126.0	31.0	231.0	288.0	197.0
dfba68ef0fd0e712608eb2a0078013a7	95.0	425.0	63.0	313.0	3.0	96.0	0.0	146.0	580.0	160.0	425.0	136.0	136.0	127.0	68.0	231.0	87.0	218.0	292.0	77.0	209.0	33.0	86.0	207.0	192.0	105.0	29.0	165.0	308.0	176.0	0.0	27.0	0.0	24.0	230.0	86.0	37.0	4045.0	0.0	519.0	226.0	293.0	123.0	21.0	5.0	87.0	86.0	34.0	936.0	2505.0	390.0	99.0	61.0	11.0	30.0	168.0	31.0	0.0	1287.0	1212.0	39.0	13.0	207.0	23.0	276.0	52.0	1071.0	6111.0	51.0	2582.0	0.0	43.0	26.0	143.0	52.0	40.0	59.0	59.0	42.0	2.0	12.0	32.0	0.0	2117.0	39.0	25.0	82.0	0.0	64.0	8.0	19.0	66.0	40.0	0.0	42.0	7.0	3.0	22.0	0.0	1131.0	18.0	60.0	0.0	178.0	103.0	52.0	57.0	0.0	30.0	16.0	5.0	1432.0	516.0	33.0
fd2130b6a8a1db45c0f5381012b2e5e7	1361.0	0.0	0.0	23.0	0.0	15.0	921.0	52.0	126.0	93.0	783.0	3.0	0.0	98.0	26.0	70.0	3.0	0.0	1272.0	194.0	3.0	3256.0	2180.0	55.0	122.0	0.0	0.0	6.0	0.0	58.0	0.0	266.0	361.0	221.0	0.0	4469.0	160.0	518.0	0.0	34.0	0.0	0.0	3.0	75.0	0.0	193.0	376.0	0.0	0.0	37.0	0.0	2.0	1944.0	0.0	0.0	0.0	69.0	0.0	597.0	6.0	0.0	0.0	108.0	54.0	122.0	37.0	287.0	254.0	0.0	121.0	51.0	0.0	560.0	0.0	2869.0	106.0	241.0	55.0	5.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	362.0	5945.0	157.0	0.0	0.0	0.0	0.0	14.0	122.0	38.0	0.0	23.0	71.0	40.0	840.0	3.0	50.0	65.0	23.0	49.0	159.0	0.0	239.0	527.0	39.0	0.0	0.0	0.0
bd2ebc70501f7d867c204f94c4e483da	459.0	2054.0	169.0	325.0	10.0	10391.0	48.0	14.0	17.0	66.0	11.0	413.0	417.0	111.0	61.0	552.0	509.0	407.0	23.0	142.0	3886.0	140.0	78.0	339.0	64.0	39.0	33.0	3.0	3.0	20.0	54.0	0.0	0.0	793.0	963.0	145.0	15.0	321.0	252.0	618.0	1105.0	816.0	8.0	14.0	12.0	0.0	110.0	0.0	0.0	182.0	8.0	24.0	7.0	50.0	15.0	0.0	8.0	39.0	63.0	70.0	17.0	41.0	0.0	13.0	16.0	18.0	5.0	0.0	0.0	0.0	23.0	25.0	30.0	48.0	13.0	8.0	112.0	12.0	17.0	56.0	32.0	0.0	43.0	31.0	61.0	19.0	7.0	24.0	0.0	4.0	40.0	22.0	6.0	0.0	0.0	0.0	0.0	13.0	31.0	243.0	4.0	54.0	6.0	28.0	49.0	10.0	52.0	26.0	7.0	58.0	20.0	8.0	36.0	7.0
88c3b2c4cdf2e1ac74425b14960376be	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	655.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c4995645e0c1545b0e1620144d03772b	205.0	0.0	6.0	69.0	0.0	22.0	5.0	264.0	153.0	321.0	630.0	12.0	75.0	196.0	0.0	30.0	0.0	18.0	0.0	0.0	32.0	47.0	193.0	7.0	4.0	11.0	102.0	16.0	35.0	45.0	0.0	368.0	0.0	74.0	0.0	143.0	3.0	78.0	0.0	5.0	0.0	12.0	0.0	97.0	505.0	773.0	213.0	832.0	192.0	1815.0	0.0	82.0	632.0	35.0	27.0	16.0	108.0	0.0	21.0	13.0	38.0	0.0	0.0	11.0	1391.0	11.0	215.0	106.0	29.0	534.0	203.0	18.0	46.0	20.0	866.0	657.0	76.0	71.0	59.0	2.0	14.0	0.0	0.0	0.0	6.0	24.0	260.0	10771.0	23.0	5.0	281.0	0.0	17.0	262.0	0.0	12.0	123.0	0.0	40.0	92.0	128.0	24.0	0.0	246.0	0.0	16.0	94.0	3.0	34.0	670.0	206.0	23.0	503.0	0.0
fc02af89d869043b296114729009a5b0	51.0	260.0	0.0	0.0	2.0	0.0	0.0	32.0	6.0	0.0	197.0	170.0	0.0	0.0	5.0	193.0	312.0	0.0	1802.0	97.0	159.0	95.0	0.0	1853.0	56.0	0.0	160.0	1877.0	0.0	216.0	0.0	0.0	268.0	632.0	76.0	175.0	131.0	0.0	2099.0	104.0	0.0	0.0	0.0	38.0	410.0	0.0	226.0	0.0	0.0	18.0	0.0	0.0	218.0	0.0	229.0	0.0	36.0	0.0	38.0	3947.0	26.0	0.0	0.0	3.0	45.0	172.0	389.0	521.0	0.0	178.0	0.0	0.0	0.0	52.0	749.0	0.0	245.0	0.0	299.0	0.0	14.0	0.0	1495.0	1374.0	0.0	166.0	43.0	1469.0	0.0	0.0	19.0	0.0	0.0	16.0	82.0	0.0	27.0	1120.0	123.0	40.0	0.0	85.0	222.0	0.0	10.0	21.0	59.0	0.0	15.0	38.0	10.0	348.0	3.0	38.0
